"year" "statefip" "pop_nedus_stem_grad" "emp_nedus_stem_grad" "pop_nedus_stem_coll" "emp_nedus_stem_coll" "pop_edus_stem_grad" "emp_edus_stem_grad" "pop_edus_stem_coll" "emp_edus_stem_coll" "pop_nedus_grad" "pop_edus_grad" "pop_nedus_coll" "pop_edus_coll" "emp_nedus_grad" "emp_edus_grad" "emp_nedus_coll" "emp_edus_coll" "emp_native_coll" "emp_native_grad" "emp_immig_coll" "emp_immig_grad" "emp_total_coll" "emp_total_grad" "emp_native" "emp_immig" "emp_total" "pop_native_coll" "pop_native_grad" "pop_immig_coll" "pop_immig_grad" "pop_native" "pop_immig" "pop_total"
2000 1 1528.23073333333 1528.23073333333 1528.23073333333 1528.23073333333 699.3875 699.3875 2193.46053333333 2193.46053333333 7939.41993333333 2287.36323333333 13067.4080666667 5235.0247 6156.44623333333 1465.043 9362.39133333333 4412.70446666667 402895.3758 119834.5481 13775.0958 7621.48923333333 416670.4716 127456.037333333 1752392.8644 41898.4638 1794291.3282 523923.951733333 159036.150133333 18302.4327666667 10226.7831666667 2762197.67183334 55983.2188333333 2818180.89066667
2001 1 784.897866666667 784.897866666667 1322.47933333333 1322.47933333333 629.159066666667 629.159066666667 1229.1436 1229.1436 6886.90446666667 2043.60546666667 11863.7734 7239.27016666667 5339.05193333333 629.159066666667 8576.4924 5824.82376666667 390370.127333333 126416.669433333 14401.3161666667 5968.211 404771.4435 132384.880433333 1726612.2062 39430.9894666667 1766043.19566667 525945.200866667 162536.705133333 19103.0435666667 8930.50993333333 2771695.77416667 58971.5662333333 2830667.3404
2002 1 710.047133333333 710.047133333333 710.047133333333 710.047133333333 639.507433333333 639.507433333333 1179.34066666667 1179.34066666667 4644.30286666667 3760.92093333333 13574.0429666667 6750.7006 2755.62113333333 3018.94373333333 6698.5483 5378.93423333333 413176.6608 133463.705333333 12077.4825333333 5774.56486666667 425254.143333333 139238.2702 1681343.5213 53465.2091666667 1734808.73046667 554208.2654 178426.950433333 20324.7435666667 8405.2238 2739829.49276667 84843.9420666667 2824673.43483333
2003 1 0 0 2292.3272 2292.3272 0 0 520.613566666667 520.613566666667 5162.98473333333 2296.10983333333 17123.2323 5612.1393 5162.98473333333 1642.14706666667 11243.3729666667 2885.63883333333 421086.8878 131949.4319 14129.0118 6805.1318 435215.8996 138754.5637 1733419.1868 46656.0147 1780075.2015 565942.421533333 177007.9304 22735.3716 7459.09456666667 2811322.3931 75943.9311333333 2887266.32423333
2004 1 965.077333333333 965.077333333333 3047.6273 3047.6273 1753.7388 1753.7388 3594.65863333333 3594.65863333333 7534.1599 6257.47776666667 25197.7125666667 8785.65423333333 5580.43773333333 3762.26656666667 16708.6923333333 6290.44303333333 439055.6768 126141.3275 22999.1353666667 9342.7043 462054.812166667 135484.0318 1733523.3802 63307.4240333333 1796830.80423333 563349.9176 162065.742933333 33983.3668 13791.6376666667 2829063.83013333 90138.3471 2919202.17723333
2005 1 829.620466666667 829.620466666667 3550.9138 3550.9138 728.6462 728.6462 1913.9076 1913.9076 11588.0072333333 4073.8214 28698.2016333333 8754.0811 7382.71253333333 2608.75553333333 16479.1120666667 6117.26773333333 438350.4886 135286.221133333 22596.3798 9991.46806666667 460946.8684 145277.6892 1784126.6802 75284.8781666667 1859411.55836667 553356.2704 168942.2525 37452.2827333333 15661.8286333333 2865472.0789 101455.384466667 2966927.46336667
2006 1 0 0 0 0 0 0 0 0 4985.25383333333 7078.9957 18163.5243333333 11543.3110666667 4075.14213333333 6344.15116666667 13734.3126666667 7646.32253333333 407942.686466667 133160.815933333 21380.6352 10419.2933 429323.321666667 143580.109233333 1786060.0136 87018.2194666667 1873078.23306667 548816.7097 174873.896933333 29706.8354 12064.2495333333 2850099.8161 121025.128033333 2971124.94413333
2007 1 0 0 1241.01446666667 1241.01446666667 1677.50633333333 1677.50633333333 2634.16716666667 2634.16716666667 8594.2396 10033.7241333333 15199.9434 19256.9710666667 6653.9633 10033.7241333333 10762.4703666667 17026.7827333333 404456.578833333 119955.288766667 27789.2531 16687.6874333333 432245.831933333 136642.9762 1735565.61383333 108127.7923 1843693.40613333 557810.029733333 171560.949433333 34456.9144666667 18627.9637333333 2839775.16436667 149210.775366667 2988985.93973333
2008 1 0 0 3853.9342 3853.9342 0 0 0 0 13691.6031333333 4530.92196666667 24447.0027 7625.542 10209.8115333333 4530.92196666667 19804.4917666667 7625.542 416240.307766666 127143.907666667 27430.0337666667 14740.7335 443670.341533333 141884.641166667 1670071.25746667 109677.461766667 1779748.71923333 596370.1457 178531.461766667 32072.5447 18222.5251 2837451.13796667 141328.322033333 2978779.46
2009 1 2333.12223333333 2333.12223333333 4520.5841 3704.6347 0 0 2866.9742 2866.9742 12303.4428666667 4478.0992 24142.2513 10676.1825666667 7317.50043333333 3362.77723333333 14594.3793 8734.454 425262.9069 127228.349533333 23328.8333 10680.2776666667 448591.7402 137908.6272 1606616.88823333 87684.9591 1694301.84733333 591662.410866667 174715.9808 34818.4338666667 16781.5420666667 2824106.47176667 129540.508266667 2953646.98003333
2010 1 1887.22863333333 1887.22863333333 1887.22863333333 1887.22863333333 0 0 925.024233333333 925.024233333333 10233.2609666667 6101.77976666667 15499.9821333333 9574.94736666667 4028.0347 6101.77976666667 5064.90253333333 8611.3774 430116.7021 161334.9294 13676.2799333333 10129.8144666667 443792.982033333 171464.743866667 1647438.2989 85729.4209666667 1733167.71986667 573321.299366667 210646.355633333 25074.9295 16335.0407333333 2876810.06993333 124202.385866667 3001012.4558
